Sex,Decile,Age,Population
Males,5.0,50,37585.0
Males,6.0,50,38184.0
Males,7.0,50,38045.0
Males,8.0,50,38626.0
Males,9.0,50,38751.0
Males,10.0,50,39914.0
Females,1.0,50,34354.0
Females,2.0,50,36263.0
Females,3.0,50,36851.0
Females,4.0,50,36846.0
Females,5.0,50,37745.0
Females,6.0,50,38420.0
Females,7.0,50,38783.0
Females,8.0,50,39346.0
Females,9.0,50,40001.0
Females,10.0,50,41466.0
Males,1.0,51,34635.0
Males,2.0,51,36520.0
Males,3.0,51,37952.0
Males,4.0,51,38229.0
Males,5.0,51,38150.0
Males,6.0,51,39078.0
Males,7.0,51,38922.0
Males,8.0,51,39440.0
Males,9.0,51,39557.0
Males,10.0,51,40813.0
Females,1.0,51,35814.0
Females,2.0,51,37702.0
Females,3.0,51,37991.0
Females,4.0,51,38452.0
